Disease	CircRNA	Probability
bladder cancer	hsa_circ_0001982	0.944316148757935
bladder cancer	hsa_circ_0002007	0.917443692684174
bladder cancer	hsa_circ_0001819	0.993366658687592
bladder cancer	hsa_circ_0001417	0.928926467895508
bladder cancer	hsa_circ_0005239	0.995823621749878
bladder cancer	hsa_circ_0092341	0.535339951515198
bladder cancer	hsa_circ_0085495	0.845429539680481
bladder cancer	hsa_circ_0014130	0.954783201217651
bladder cancer	hsa_circ_0012380	0.80330890417099
bladder cancer	hsa_circ_0000567	0.985451340675354
bladder cancer	hsa_circ_0032832	0.722661137580872
bladder cancer	hsa_circ_0000098	0.916526854038238
bladder cancer	hsa_circ_0002874	0.972751677036285
bladder cancer	hsa_circ_0002111	0.596182882785797
bladder cancer	hsa_circ_0000615	0.994009137153626
bladder cancer	hsa_circ_0086241	0.975595951080322
bladder cancer	hsa_circ_0000520	0.956781446933746
bladder cancer	hsa_circ_0092283	0.681113302707672
bladder cancer	hsa_circ_0001946	0.98089212179184
bladder cancer	hsa_circ_0006903	0.955863773822784
bladder cancer	hsa_circ_0058766	0.64932519197464
bladder cancer	hsa_circ_0001727	0.976182103157043
bladder cancer	hsa_circ_0001445	0.983381927013397
bladder cancer	hsa_circ_0065932	0.671294331550598
bladder cancer	hsa_circ_0002179	0.927271604537964
bladder cancer	hsa_circ_0006054	0.947092235088348
bladder cancer	hsa_circ_0014961	0.88048243522644
bladder cancer	hsa_circ_0000700	0.861853122711181
bladder cancer	hsa_circ_0006022	0.986832737922668
bladder cancer	hsa_circ_0008310	0.734866619110107
bladder cancer	hsa_circ_0028882	0.790864944458008
bladder cancer	hsa_circ_0023404	0.983759522438049
bladder cancer	hsa_circ_0075736	0.978148460388184
bladder cancer	hsa_circ_0001275	0.999222636222839
bladder cancer	hsa_circ_0068669	0.969665467739105
bladder cancer	hsa_circ_0001512	0.691355645656586
bladder cancer	hsa_circ_0005538	0.957897126674652
bladder cancer	hsa_circ_0040039	0.658830225467682
bladder cancer	hsa_circ_0000190	0.67058402299881
bladder cancer	hsa_circ_0007534	0.976801693439483
bladder cancer	hsa_circ_0086414	0.993698060512543
bladder cancer	hsa_circ_0046449	0.991067588329315
bladder cancer	hsa_circ_0001821	0.971533417701721
bladder cancer	hsa_circ_0001866	0.699768602848053
bladder cancer	hsa_circ_0003570	0.998064696788788
bladder cancer	hsa_circ_0007380	0.945662498474121
bladder cancer	hsa_circ_0000981	0.844564139842987
bladder cancer	hsa_circ_0020397	0.990991592407227
bladder cancer	hsa_circ_0084353	0.988852620124817
bladder cancer	hsa_circ_0000237	0.978947162628174
bladder cancer	hsa_circ_0048232	0.984421133995056
bladder cancer	hsa_circ_0000839	0.971254348754883
bladder cancer	hsa_circ_0003838	0.786499798297882
bladder cancer	hsa_circ_0005075	0.981129109859467
bladder cancer	hsa_circ_0001336	0.722661137580872
bladder cancer	hsa_circ_0082333	0.950167298316956
bladder cancer	hsa_circ_0003906	0.988324165344238
bladder cancer	hsa_circ_0000073	0.731773018836975
bladder cancer	hsa_circ_0002908	0.982561826705933
bladder cancer	hsa_circ_0008450	0.984329998493195
bladder cancer	hsa_circ_0001633	0.996517181396484
bladder cancer	hsa_circ_0005949	0.990324378013611
bladder cancer	hsa_circ_0089763	0.871905505657196
bladder cancer	hsa_circ_0023918	0.995542228221893
bladder cancer	hsa_circ_0000893	0.870484530925751
bladder cancer	hsa_circ_0002078	0.997677981853485
bladder cancer	hsa_circ_0080189	0.686448812484741
bladder cancer	hsa_circ_0010008	0.92342346906662
bladder cancer	hsa_circ_0006988	0.99213045835495
bladder cancer	hsa_circ_0000345	0.985220551490784
bladder cancer	hsa_circ_0004680	0.592681586742401
bladder cancer	hsa_circ_0021093	0.971129536628723
bladder cancer	hsa_circ_0004458	0.62278550863266
bladder cancer	hsa_circ_0000414	0.987856328487396
bladder cancer	hsa_circ_0015703	0.90921276807785
bladder cancer	hsa_circ_0005540	0.807124972343445
bladder cancer	hsa_circ_0000523	0.977842509746552
bladder cancer	hsa_circ_0001313	0.992510795593262
bladder cancer	hsa_circ_0009910	0.624840438365936
bladder cancer	hsa_circ_0013958	0.980367541313171
bladder cancer	hsa_circ_0001135	0.993891835212708
bladder cancer	hsa_circ_0011946	0.953684270381928
bladder cancer	hsa_circ_0059044	0.9899463057518
bladder cancer	hsa_circ_0017949	0.962436139583588
bladder cancer	hsa_circ_0024169	0.972763895988464
bladder cancer	hsa_circ_0004383	0.747160077095032
bladder cancer	hsa_circ_0085567	0.877953410148621
bladder cancer	hsa_circ_0006766	0.848469793796539
bladder cancer	hsa_circ_0040809	0.790188014507294
bladder cancer	hsa_circ_0000638	0.980417132377624
bladder cancer	hsa_circ_0006229	0.748527348041534
bladder cancer	hsa_circ_0001667	0.945240318775177
bladder cancer	hsa_circ_0001410	0.808442950248718
bladder cancer	hsa_circ_0001598	0.968808531761169
bladder cancer	hsa_circ_0089974	0.605271697044373
bladder cancer	hsa_circ_0022392	0.912446200847626
bladder cancer	hsa_circ_0079530	0.930546224117279
bladder cancer	hsa_circ_0006801	0.891497015953064
bladder cancer	hsa_circ_0000426	0.912888705730438
bladder cancer	hsa_circ_0001649	0.993692874908447
bladder cancer	hsa_circ_0008797	0.986224293708801
bladder cancer	hsa_circ_0000069	0.909998297691345
bladder cancer	hsa_circ_0008305	0.989327192306519
bladder cancer	hsa_circ_0006404	0.961189687252045
bladder cancer	hsa_circ_0060144	0.605265021324158
bladder cancer	hsa_circ_0000064	0.993399858474731
bladder cancer	hsa_circ_0001184	0.977548062801361
bladder cancer	hsa_circ_0006174	0.991998851299286
bladder cancer	hsa_circ_0002138	0.988576710224152
bladder cancer	hsa_circ_0010567	0.984532535076141
bladder cancer	hsa_circ_0016347	0.864625453948975
bladder cancer	hsa_circ_0003098	0.970992624759674
bladder cancer	hsa_circ_0002113	0.941403031349182
bladder cancer	hsa_circ_0002702	0.9649418592453
bladder cancer	hsa_circ_0018293	0.926415801048279
bladder cancer	hsa_circ_0008832	0.928166389465332
bladder cancer	hsa_circ_0067531	0.991990268230438
bladder cancer	hsa_circ_0080210	0.806991040706635
bladder cancer	hsa_circ_0000745	0.98505175113678
bladder cancer	hsa_circ_0008717	0.844465613365173
bladder cancer	hsa_circ_0006127	0.641264021396637
bladder cancer	hsa_circ_0000681	0.986224293708801
bladder cancer	hsa_circ_0000144	0.972433805465698
bladder cancer	hsa_circ_0087862	0.97079211473465
bladder cancer	hsa_circ_0067103	0.97250497341156
bladder cancer	hsa_circ_0091702	0.913086414337158
bladder cancer	hsa_circ_0000627	0.95807820558548
bladder cancer	hsa_circ_0012673	0.903527140617371
bladder cancer	hsa_circ_0006186	0.601122081279755
bladder cancer	hsa_circ_0000554	0.722661137580872
bladder cancer	hsa_circ_0000175	0.986631810665131
bladder cancer	hsa_circ_0003880	0.809127449989319
bladder cancer	hsa_circ_0004666	0.823795557022095
bladder cancer	hsa_circ_0005046	0.993109107017517
bladder cancer	hsa_circ_0074930	0.977985978126526
bladder cancer	hsa_circ_0000518	0.909580230712891
bladder cancer	hsa_circ_0036763	0.794134199619293
bladder cancer	hsa_circ_0005004	0.968123912811279
bladder cancer	hsa_circ_0005214	0.968290984630585
bladder cancer	hsa_circ_0007788	0.781998574733734
bladder cancer	hsa_circ_0004018	0.977416515350342
bladder cancer	hsa_circ_0005986	0.985479235649109
bladder cancer	hsa_circ_0006528	0.807145476341248
bladder cancer	hsa_circ_0086376	0.8172727227211
bladder cancer	hsa_circ_0000915	0.98904013633728
bladder cancer	hsa_circ_0002168	0.96344792842865
bladder cancer	hsa_circ_0008345	0.997188746929169
bladder cancer	hsa_circ_0041946	0.841298997402191
bladder cancer	hsa_circ_0000074	0.989019453525543
bladder cancer	hsa_circ_0002190	0.947229862213135
bladder cancer	hsa_circ_0004214	0.750203549861908
bladder cancer	hsa_circ_0049657	0.958496510982513
bladder cancer	hsa_circ_0006411	0.99740868806839
bladder cancer	hsa_circ_0000118	0.996243238449097
bladder cancer	hsa_circ_0008945	0.963111519813538
bladder cancer	hsa_circ_0056288	0.636567056179047
bladder cancer	hsa_circ_0014717	0.978856205940247
bladder cancer	hsa_circ_0008494	0.98640114068985
bladder cancer	hsa_circ_0004619	0.993855893611908
bladder cancer	hsa_circ_0006147	0.962791085243225
bladder cancer	hsa_circ_0000732	0.943618297576904
bladder cancer	hsa_circ_0007006	0.989091992378235
bladder cancer	hsa_circ_0000130	0.999093055725098
bladder cancer	hsa_circ_0003391	0.736842632293701
bladder cancer	hsa_circ_0004519	0.519009649753571
bladder cancer	hsa_circ_0014879	0.651831567287445
bladder cancer	hsa_circ_0007874	0.988749146461487
bladder cancer	hsa_circ_0041732	0.637589991092682
bladder cancer	hsa_circ_0068033	0.838507771492004
bladder cancer	hsa_circ_0001724	0.989513099193573
bladder cancer	hsa_circ_0001785	0.972227334976196
bladder cancer	hsa_circ_0043138	0.991933047771454
bladder cancer	hsa_circ_0016760	0.917756795883179
bladder cancer	hsa_circ_0004771	0.698133111000061
bladder cancer	hsa_circ_0084021	0.982667028903961
bladder cancer	hsa_circ_0001721	0.96129697561264
bladder cancer	hsa_circ_0007385	0.944187343120575
bladder cancer	hsa_circ_0015115	0.952913582324982
bladder cancer	hsa_circ_0000497	0.993979454040527
bladder cancer	hsa_circ_0007551	0.929137170314789
bladder cancer	hsa_circ_0000140	0.867189824581146
bladder cancer	hsa_circ_0000219	0.886984586715698
bladder cancer	hsa_circ_0067934	0.965972781181335
bladder cancer	hsa_circ_0071589	0.971618831157684
bladder cancer	hsa_circ_0000911	0.888140320777893
bladder cancer	hsa_circ_0008433	0.916637301445007
bladder cancer	hsa_circ_0005603	0.622829616069794
bladder cancer	hsa_circ_0005684	0.946936547756195
bladder cancer	hsa_circ_0008509	0.989305794239044
bladder cancer	hsa_circ_0007374	0.990961611270904
bladder cancer	hsa_circ_0001875	0.994841039180756
bladder cancer	hsa_circ_0001451	0.975183129310608
bladder cancer	hsa_circ_0058058	0.909020364284515
bladder cancer	hsa_circ_0005218	0.804885745048523
bladder cancer	hsa_circ_0007031	0.994171679019928
bladder cancer	hsa_circ_0001423	0.894917845726013
bladder cancer	hsa_circ_0068087	0.886446595191956
bladder cancer	hsa_circ_0043256	0.995123207569122
bladder cancer	hsa_circ_0003183	0.96712851524353
bladder cancer	hsa_circ_0000677	0.997677981853485
bladder cancer	hsa_circ_0002362	0.989019453525543
bladder cancer	hsa_circ_0001259	0.796050786972046
bladder cancer	hsa_circ_0023903	0.985411047935486
bladder cancer	hsa_circ_0092340	0.876287281513214
bladder cancer	hsa_circ_0016901	0.851225852966309
bladder cancer	hsa_circ_0000504	0.993632018566132
bladder cancer	hsa_circ_0007769	0.702978789806366
bladder cancer	hsa_circ_0000522	0.99115401506424
bladder cancer	hsa_circ_0002052	0.867205739021301
bladder cancer	hsa_circ_0000154	0.826533794403076
bladder cancer	hsa_circ_0002133	0.961543321609497
bladder cancer	hsa_circ_0044556	0.921878516674041
bladder cancer	hsa_circ_0054155	0.99425745010376
bladder cancer	hsa_circ_0063179	0.987856328487396
bladder cancer	hsa_circ_0085154	0.972481727600098
bladder cancer	hsa_circ_0022080	0.983443856239319
bladder cancer	hsa_circ_0091894	0.998420715332031
bladder cancer	hsa_circ_0001206	0.696356058120728
bladder cancer	hsa_circ_0001824	0.971641659736633
bladder cancer	hsa_circ_0000437	0.995824933052063
bladder cancer	hsa_circ_0001370	0.972977459430695
bladder cancer	hsa_circ_0015350	0.968869984149933
bladder cancer	hsa_circ_0001791	0.841711163520813
bladder cancer	hsa_circ_0022383	0.888131856918335
bladder cancer	hsa_circ_0024997	0.998576283454895
bladder cancer	hsa_circ_0005912	0.923418402671814
breast cancer	hsa_circ_0000516	0.863257586956024
breast cancer	hsa_circ_0001819	0.998359382152557
breast cancer	hsa_circ_0005556	0.997751891613007
breast cancer	hsa_circ_0001417	0.999678611755371
breast cancer	hsa_circ_0092341	0.99873274564743
breast cancer	hsa_circ_0014130	0.934867918491364
breast cancer	hsa_circ_0000567	0.824344396591187
breast cancer	hsa_circ_0015278	0.87414675951004
breast cancer	hsa_circ_0063809	0.775345742702484
breast cancer	hsa_circ_0002111	0.873063564300537
breast cancer	hsa_circ_0000615	0.978749573230743
breast cancer	hsa_circ_0018289	0.959866881370544
breast cancer	hsa_circ_0069131	0.803276836872101
breast cancer	hsa_circ_0092283	0.995078444480896
breast cancer	hsa_circ_0001946	0.999877452850342
breast cancer	hsa_circ_0058766	0.999524116516113
breast cancer	hsa_circ_0028899	0.823872685432434
breast cancer	hsa_circ_0001727	0.993666470050812
breast cancer	hsa_circ_0001445	0.990015804767608
breast cancer	hsa_circ_0065932	0.983753740787506
breast cancer	hsa_circ_0075001	0.782811641693115
breast cancer	hsa_circ_0003575	0.973509728908539
breast cancer	hsa_circ_0032683	0.904762208461762
breast cancer	hsa_circ_0000700	0.998631417751312
breast cancer	hsa_circ_0006022	0.994880080223084
breast cancer	hsa_circ_0008310	0.965590715408325
breast cancer	hsa_circ_0021553	0.83969521522522
breast cancer	hsa_circ_0023404	0.983415961265564
breast cancer	hsa_circ_0076304	0.784746646881104
breast cancer	hsa_circ_0001275	0.999513387680054
breast cancer	hsa_circ_0000026	0.998982012271881
breast cancer	hsa_circ_0031027	0.948849856853485
breast cancer	hsa_circ_0005538	0.989964067935944
breast cancer	hsa_circ_0000190	0.895288705825806
breast cancer	hsa_circ_0086414	0.991155982017517
breast cancer	hsa_circ_0046449	0.951005041599274
breast cancer	hsa_circ_0001866	0.997033476829529
breast cancer	hsa_circ_0003570	0.990975916385651
breast cancer	hsa_circ_0033299	0.680866360664368
breast cancer	hsa_circ_0000594	0.607919991016388
breast cancer	hsa_circ_0007380	0.996731638908386
breast cancer	hsa_circ_0008394	0.984601616859436
breast cancer	hsa_circ_0031979	0.95692777633667
breast cancer	hsa_circ_0003266	0.902017831802368
breast cancer	hsa_circ_0020397	0.788554668426514
breast cancer	hsa_circ_0084353	0.709247887134552
breast cancer	hsa_circ_0000237	0.924692809581757
breast cancer	hsa_circ_0048232	0.812088072299957
breast cancer	hsa_circ_0011021	0.944370210170746
breast cancer	hsa_circ_0001566	0.95162308216095
breast cancer	hsa_circ_0005075	0.994535326957702
breast cancer	hsa_circ_0082333	0.782248020172119
breast cancer	hsa_circ_0003906	0.773832440376282
breast cancer	hsa_circ_0001546	0.996238946914673
breast cancer	hsa_circ_0078738	0.800902962684631
breast cancer	hsa_circ_0001633	0.999317765235901
breast cancer	hsa_circ_0005949	0.978068709373474
breast cancer	hsa_circ_0002078	0.99523913860321
breast cancer	hsa_circ_0003221	0.666467607021332
breast cancer	hsa_circ_0080189	0.99391371011734
breast cancer	hsa_circ_0000345	0.997787594795227
breast cancer	hsa_circ_0004680	0.992122948169708
breast cancer	hsa_circ_0004458	0.946043789386749
breast cancer	hsa_circ_0000414	0.550353944301605
breast cancer	hsa_circ_0005540	0.538931727409363
breast cancer	hsa_circ_0000523	0.997756063938141
breast cancer	hsa_circ_0005273	0.966460764408112
breast cancer	hsa_circ_0009910	0.967414200305939
breast cancer	hsa_circ_0001561	0.927485048770904
breast cancer	hsa_circ_0032821	0.593664765357971
breast cancer	hsa_circ_0060108	0.910267531871796
breast cancer	hsa_circ_0020159	0.750814020633698
breast cancer	hsa_circ_0059044	0.974063575267791
breast cancer	hsa_circ_0024169	0.940097332000732
breast cancer	hsa_circ_0004383	0.899230659008026
breast cancer	hsa_circ_0082569	0.963629186153412
breast cancer	hsa_circ_0001141	0.982896268367767
breast cancer	hsa_circ_0001947	0.710865497589111
breast cancer	hsa_circ_0040809	0.558554351329803
breast cancer	hsa_circ_0006229	0.997701823711395
breast cancer	hsa_circ_0001017	0.961570560932159
breast cancer	hsa_circ_0001410	0.988303005695343
breast cancer	hsa_circ_0008383	0.859192669391632
breast cancer	hsa_circ_0034912	0.746925413608551
breast cancer	hsa_circ_0057104	0.923137724399567
breast cancer	hsa_circ_0079530	0.712031126022339
breast cancer	hsa_circ_0006801	0.996454000473022
breast cancer	hsa_circ_0000426	0.998604357242584
breast cancer	hsa_circ_0008797	0.52189302444458
breast cancer	hsa_circ_0000069	0.995317935943604
breast cancer	hsa_circ_0064557	0.826522290706635
breast cancer	hsa_circ_0060144	0.993517518043518
breast cancer	hsa_circ_0092024	0.991922378540039
breast cancer	hsa_circ_0000064	0.98483270406723
breast cancer	hsa_circ_0084720	0.906368374824524
breast cancer	hsa_circ_0050547	0.999370157718658
breast cancer	hsa_circ_0006174	0.993899941444397
breast cancer	hsa_circ_0002138	0.991543173789978
breast cancer	hsa_circ_0016347	0.992562234401703
breast cancer	hsa_circ_0003098	0.981330811977386
breast cancer	hsa_circ_0074362	0.951015591621399
breast cancer	hsa_circ_0035445	0.773684620857239
breast cancer	hsa_circ_0002702	0.933304309844971
breast cancer	hsa_circ_0008832	0.99367082118988
breast cancer	hsa_circ_0000745	0.990722954273224
breast cancer	hsa_circ_0000096	0.96720939874649
breast cancer	hsa_circ_0000681	0.52189302444458
breast cancer	hsa_circ_0000144	0.994890213012695
breast cancer	hsa_circ_0023642	0.998379230499268
breast cancer	hsa_circ_0079891	0.830720663070679
breast cancer	hsa_circ_0087862	0.988578081130981
breast cancer	hsa_circ_0067103	0.957041203975678
breast cancer	hsa_circ_0041731	0.689028203487396
breast cancer	hsa_circ_0000627	0.99983537197113
breast cancer	hsa_circ_0006186	0.997635006904602
breast cancer	hsa_circ_0000175	0.998270869255066
breast cancer	hsa_circ_0004666	0.547553420066834
breast cancer	hsa_circ_0018508	0.867738008499146
breast cancer	hsa_circ_0074930	0.920767366886139
breast cancer	hsa_circ_0036763	0.974096238613129
breast cancer	hsa_circ_0001539	0.601695716381073
breast cancer	hsa_circ_0007915	0.821139633655548
breast cancer	hsa_circ_0001895	0.993339836597443
breast cancer	hsa_circ_0086376	0.696146368980408
breast cancer	hsa_circ_0000915	0.991828322410584
breast cancer	hsa_circ_0008345	0.839359521865845
breast cancer	hsa_circ_0000074	0.60881370306015
breast cancer	hsa_circ_0001564	0.97155624628067
breast cancer	hsa_circ_0049657	0.629732608795166
breast cancer	hsa_circ_0006411	0.59554398059845
breast cancer	hsa_circ_0000118	0.997092723846436
breast cancer	hsa_circ_0056288	0.973065972328186
breast cancer	hsa_circ_0003922	0.875292420387268
breast cancer	hsa_circ_0014717	0.997774541378021
breast cancer	hsa_circ_0008494	0.825997710227966
breast cancer	hsa_circ_0074806	0.780537605285645
breast cancer	hsa_circ_0000254	0.621828436851501
breast cancer	hsa_circ_0007006	0.995521426200867
breast cancer	hsa_circ_0000130	0.999407052993774
breast cancer	hsa_circ_0041732	0.999248325824738
breast cancer	hsa_circ_0001724	0.986078262329102
breast cancer	hsa_circ_0043138	0.999054133892059
breast cancer	hsa_circ_0016760	0.83268940448761
breast cancer	hsa_circ_0084021	0.789824485778809
breast cancer	hsa_circ_0007385	0.718175888061523
breast cancer	hsa_circ_0015115	0.953167617321014
breast cancer	hsa_circ_0000497	0.995445132255554
breast cancer	hsa_circ_0008016	0.758747518062592
breast cancer	hsa_circ_0072088	0.695880770683289
breast cancer	hsa_circ_0000140	0.999195158481598
breast cancer	hsa_circ_0005529	0.84061735868454
breast cancer	hsa_circ_0000219	0.974370360374451
breast cancer	hsa_circ_0038383	0.640312969684601
breast cancer	hsa_circ_0071589	0.996682107448578
breast cancer	hsa_circ_0008433	0.825056612491608
breast cancer	hsa_circ_0005603	0.884462237358093
breast cancer	hsa_circ_0008509	0.822332799434662
breast cancer	hsa_circ_0007374	0.825494945049286
breast cancer	hsa_circ_0001451	0.940077841281891
breast cancer	hsa_circ_0092315	0.823180854320526
breast cancer	hsa_circ_0005218	0.980968952178955
breast cancer	hsa_circ_0007031	0.999633073806763
breast cancer	hsa_circ_0001423	0.698712527751923
breast cancer	hsa_circ_0068087	0.988691091537476
breast cancer	hsa_circ_0003222	0.623803973197937
breast cancer	hsa_circ_0043256	0.999650120735168
breast cancer	hsa_circ_0000677	0.99523913860321
breast cancer	hsa_circ_0002362	0.575411260128021
breast cancer	hsa_circ_0023903	0.795179605484009
breast cancer	hsa_circ_0092340	0.993288576602936
breast cancer	hsa_circ_0003505	0.837065637111664
breast cancer	hsa_circ_0061276	0.995552241802216
breast cancer	hsa_circ_0089231	0.990948259830475
breast cancer	hsa_circ_0000504	0.999257743358612
breast cancer	hsa_circ_0000522	0.983063101768494
breast cancer	hsa_circ_0004136	0.50502473115921
breast cancer	hsa_circ_0002052	0.992724597454071
breast cancer	hsa_circ_0000154	0.913904786109924
breast cancer	hsa_circ_0054155	0.961609065532684
breast cancer	hsa_circ_0063179	0.550353944301605
breast cancer	hsa_circ_0091822	0.952194273471832
breast cancer	hsa_circ_0092330	0.992724716663361
breast cancer	hsa_circ_0022080	0.987299501895904
breast cancer	hsa_circ_0091894	0.992651402950287
breast cancer	hsa_circ_0001206	0.925098299980164
breast cancer	hsa_circ_0013048	0.890876412391663
breast cancer	hsa_circ_0001577	0.999545633792877
breast cancer	hsa_circ_0002089	0.815374851226806
breast cancer	hsa_circ_0081342	0.860620558261871
breast cancer	hsa_circ_0000437	0.981037139892578
breast cancer	hsa_circ_0001370	0.99742728471756
breast cancer	hsa_circ_0004846	0.853249371051788
breast cancer	hsa_circ_0068610	0.988223910331726
breast cancer	hsa_circ_0061274	0.995964050292969
breast cancer	hsa_circ_0024997	0.995960772037506
breast cancer	hsa_circ_0005912	0.774840295314789
cardiovascular disease	hsa_circ_0001175	0.73646479845047
cardiovascular disease	hsa_circ_0054537	0.535820305347443
cardiovascular disease	hsa_circ_0043534	0.74805873632431
cardiovascular disease	hsa_circ_0078710	0.734890222549439
cardiovascular disease	hsa_circ_0089378	0.51335996389389
cardiovascular disease	hsa_circ_0067745	0.765394985675812
cardiovascular disease	hsa_circ_0000098	0.686672568321228
cardiovascular disease	hsa_circ_0001946	0.651765584945679
cardiovascular disease	hsa_circ_0028899	0.58323734998703
cardiovascular disease	hsa_circ_0001727	0.78297370672226
cardiovascular disease	hsa_circ_0017515	0.744820713996887
cardiovascular disease	hsa_circ_0000700	0.804359316825867
cardiovascular disease	hsa_circ_0006022	0.602263450622559
cardiovascular disease	hsa_circ_0021001	0.985498547554016
cardiovascular disease	hsa_circ_0040039	0.94468092918396
cardiovascular disease	hsa_circ_0007534	0.781575560569763
cardiovascular disease	hsa_circ_0083357	0.511518180370331
cardiovascular disease	hsa_circ_0003570	0.688930153846741
cardiovascular disease	hsa_circ_0033299	0.7785684466362
cardiovascular disease	hsa_circ_0005931	0.734890222549439
cardiovascular disease	hsa_circ_0062163	0.734890222549439
cardiovascular disease	hsa_circ_0030045	0.696617543697357
cardiovascular disease	hsa_circ_0023918	0.784881591796875
cardiovascular disease	hsa_circ_0002078	0.567091405391693
cardiovascular disease	hsa_circ_0057336	0.765394985675812
cardiovascular disease	hsa_circ_0020159	0.786755383014679
cardiovascular disease	hsa_circ_0001649	0.77566784620285
cardiovascular disease	hsa_circ_0008305	0.629853188991547
cardiovascular disease	hsa_circ_0006174	0.774278342723846
cardiovascular disease	hsa_circ_0002569	0.697246253490448
cardiovascular disease	hsa_circ_0080210	0.973083436489105
cardiovascular disease	hsa_circ_0087862	0.703241765499115
cardiovascular disease	hsa_circ_0091702	0.970944046974182
cardiovascular disease	hsa_circ_0082824	0.680362164974213
cardiovascular disease	hsa_circ_0001204	0.677994906902313
cardiovascular disease	hsa_circ_0023110	0.909798741340637
cardiovascular disease	hsa_circ_0045510	0.734890222549439
cardiovascular disease	hsa_circ_0005046	0.859136343002319
cardiovascular disease	hsa_circ_0018508	0.62000584602356
cardiovascular disease	hsa_circ_0036763	0.767548501491547
cardiovascular disease	hsa_circ_0015756	0.777507066726685
cardiovascular disease	hsa_circ_0066077	0.745538175106049
cardiovascular disease	hsa_circ_0052372	0.993870377540588
cardiovascular disease	hsa_circ_0023114	0.77453339099884
cardiovascular disease	hsa_circ_0041946	0.95585298538208
cardiovascular disease	hsa_circ_0006411	0.633666336536408
cardiovascular disease	hsa_circ_0030569	0.639085412025452
cardiovascular disease	hsa_circ_0040081	0.765394985675812
cardiovascular disease	hsa_circ_0067209	0.775984466075897
cardiovascular disease	hsa_circ_0023117	0.734890222549439
cardiovascular disease	hsa_circ_0079549	0.744820713996887
cardiovascular disease	hsa_circ_0038383	0.767762720584869
cardiovascular disease	hsa_circ_0043497	0.677169442176819
cardiovascular disease	hsa_circ_0005684	0.508808314800262
cardiovascular disease	hsa_circ_0001875	0.780420184135437
cardiovascular disease	hsa_circ_0005218	0.686723947525024
cardiovascular disease	hsa_circ_0007031	0.553030669689178
cardiovascular disease	hsa_circ_0051172	0.685294330120087
cardiovascular disease	hsa_circ_0050898	0.557652711868286
cardiovascular disease	hsa_circ_0068087	0.79608565568924
cardiovascular disease	hsa_circ_0023903	0.927028238773346
cardiovascular disease	hsa_circ_0000284	0.599981009960175
cardiovascular disease	hsa_circ_0057576	0.517758965492249
cardiovascular disease	hsa_circ_0082081	0.694421112537384
cardiovascular disease	hsa_circ_0072359	0.744820713996887
cardiovascular disease	hsa_circ_0054633	0.777682363986969
cervical cancer	hsa_circ_0001175	0.961553275585175
cervical cancer	hsa_circ_0002007	0.687844097614288
cervical cancer	hsa_circ_0001819	0.978492677211762
cervical cancer	hsa_circ_0001417	0.988685727119446
cervical cancer	hsa_circ_0005239	0.917440474033356
cervical cancer	hsa_circ_0000098	0.898255407810211
cervical cancer	hsa_circ_0002874	0.738446176052094
cervical cancer	hsa_circ_0001283	0.998658537864685
cervical cancer	hsa_circ_0002111	0.863653004169464
cervical cancer	hsa_circ_0000615	0.857418596744537
cervical cancer	hsa_circ_0086241	0.535823345184326
cervical cancer	hsa_circ_0092283	0.989525675773621
cervical cancer	hsa_circ_0001946	0.969873666763306
cervical cancer	hsa_circ_0006903	0.541263818740845
cervical cancer	hsa_circ_0058766	0.53227561712265
cervical cancer	hsa_circ_0001907	0.807109832763672
cervical cancer	hsa_circ_0028899	0.755528688430786
cervical cancer	hsa_circ_0001727	0.932741522789001
cervical cancer	hsa_circ_0001445	0.981082677841186
cervical cancer	hsa_circ_0075001	0.925386190414429
cervical cancer	hsa_circ_0003575	0.953142166137695
cervical cancer	hsa_circ_0032683	0.987386167049408
cervical cancer	hsa_circ_0000700	0.984176099300384
cervical cancer	hsa_circ_0006022	0.70607316493988
cervical cancer	hsa_circ_0021553	0.843172252178192
cervical cancer	hsa_circ_0001275	0.953640401363373
cervical cancer	hsa_circ_0000026	0.761938393115997
cervical cancer	hsa_circ_0000190	0.900859117507935
cervical cancer	hsa_circ_0007534	0.940983295440674
cervical cancer	hsa_circ_0002968	0.682036578655243
cervical cancer	hsa_circ_0001821	0.981291055679321
cervical cancer	hsa_circ_0003570	0.84369832277298
cervical cancer	hsa_circ_0007380	0.505817174911499
cervical cancer	hsa_circ_0008394	0.513967216014862
cervical cancer	hsa_circ_0003266	0.925868451595306
cervical cancer	hsa_circ_0001566	0.986027717590332
cervical cancer	hsa_circ_0003838	0.816765487194061
cervical cancer	hsa_circ_0040705	0.676678240299225
cervical cancer	hsa_circ_0005075	0.82851642370224
cervical cancer	hsa_circ_0001546	0.971716642379761
cervical cancer	hsa_circ_0001633	0.951968908309936
cervical cancer	hsa_circ_0000893	0.646634578704834
cervical cancer	hsa_circ_0002078	0.895493805408478
cervical cancer	hsa_circ_0080189	0.734139740467072
cervical cancer	hsa_circ_0005620	0.710523128509522
cervical cancer	hsa_circ_0000345	0.9818514585495
cervical cancer	hsa_circ_0004680	0.811755657196045
cervical cancer	hsa_circ_0004458	0.971265435218811
cervical cancer	hsa_circ_0015703	0.610702753067017
cervical cancer	hsa_circ_0000523	0.873367369174957
cervical cancer	hsa_circ_0009910	0.822014093399048
cervical cancer	hsa_circ_0001135	0.948954284191132
